"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PIH","1347 Property Insurance Holdings, Inc.","7.7","45867098.2","n/a","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih",
"TURN","180 Degree Capital Corp.","1.75","54462733.5","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/turn",
"FCCY","1st Constitution Bancorp (NJ)","17.9","144439986.7","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","51.13","1326073116.12","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"ABIL","Ability Inc.","0.8047","20725967.4674","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/abil",
"ABM","ABM Industries Incorporated","42.62","2776092398.96","n/a","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"ANCX","Access National Corporation","28.95","591933065.1","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ACNB","ACNB Corporation","28.05","196778014.95","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
"AEB","Aegon NV","24.08","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","25.9884","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","5.52","11298712458.48","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.76","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeh",
"AEK","Aegon NV","26.35","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aek",
"AMG","Affiliated Managers Group, Inc.","194.62","10891003317","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/amg",
"AFL","Aflac Incorporated","82.27","32515497974.73","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afl",
"AFSD","Aflac Incorporated","25.07","0","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afsd",
"AGFS","AgroFresh Solutions, Inc.","7.06","355384197.3","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.53","0","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/agfsw",
"ALEX","Alexander & Baldwin Holdings, Inc.","45.75","2249135514","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/alex",
"Y","Alleghany Corporation","548.25","8453656992.75","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/y",
"ABTX","Allegiance Bancshares, Inc.","37.55","494213949.5","n/a","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/abtx",
"AB","AllianceBernstein Holding L.P.","24.75","2307673095.75","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/ab",
"NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund","13.35","1265601106.35","n/a","2005","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/nfj",
"ALL","Allstate Corporation (The)","93.29","33711233912.14","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/all",
"ALLY","Ally Financial Inc.","24.4","10976421447.2","n/a","2014","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/ally",
"AAMC","Altisource Asset Management Corp","89.05","140061134.85","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/aamc",
"RESI","Altisource Residential Corporation","11.32","604028860.8","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/resi",
"AMBC","Ambac Financial Group, Inc.","16.92","765649728.72","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","7.932","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambcw",
"ATAX","America First Multifamily Investors, L.P.","6.1","367542860.8","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atax",
"AEL","American Equity Investment Life Holding Company","29.71","2641736043.13","n/a","2003","Finance","Life Insurance","http://www.nasdaq.com/symbol/ael",
"AXP","American Express Company","91.55","80928336408.2","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/axp",
"AFG","American Financial Group, Inc.","105.66","9300470346.18","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afg",
"AFGE","American Financial Group, Inc.","26.66","0","n/a","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afge",
"AFGH","American Financial Group, Inc.","26.4188","0","n/a","2015","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afgh",
"AIG","American International Group, Inc.","62.26","56246037699.06","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/aig",
"AMNB","American National Bankshares, Inc.","41.85","361705909.05","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","119.3","3212973761.2","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/anat",
